psm,digits,padding,accuracy
6,FALSE,TRUE,100%
7,FALSE,TRUE,100%
8,FALSE,TRUE,100%
9,FALSE,TRUE,100%
10,FALSE,TRUE,100%
11,FALSE,TRUE,100%
12,FALSE,TRUE,100%
13,FALSE,TRUE,100%
1,TRUE,TRUE,96%
1,FALSE,TRUE,96%
3,TRUE,TRUE,96%
3,FALSE,TRUE,96%
4,TRUE,TRUE,96%
4,FALSE,TRUE,96%
6,TRUE,TRUE,96%
7,TRUE,TRUE,96%
8,TRUE,TRUE,96%
9,TRUE,TRUE,96%
10,TRUE,TRUE,96%
11,TRUE,TRUE,96%
12,TRUE,TRUE,96%
13,TRUE,TRUE,96%
7,FALSE,FALSE,90%
10,FALSE,FALSE,90%
6,TRUE,FALSE,88%
6,FALSE,FALSE,88%
7,TRUE,FALSE,88%
8,TRUE,FALSE,88%
8,FALSE,FALSE,88%
9,TRUE,FALSE,88%
9,FALSE,FALSE,88%
10,TRUE,FALSE,88%
13,TRUE,FALSE,88%
13,FALSE,FALSE,88%
11,TRUE,FALSE,39%
11,FALSE,FALSE,39%
12,TRUE,FALSE,39%
12,FALSE,FALSE,39%
1,FALSE,FALSE,6%
3,FALSE,FALSE,6%
4,FALSE,FALSE,6%
1,TRUE,FALSE,2%
3,TRUE,FALSE,2%
4,TRUE,FALSE,2%
5,TRUE,TRUE,0%
5,TRUE,FALSE,0%
5,FALSE,TRUE,0%
5,FALSE,FALSE,0%